x,y,type
-464.546252082,-7600.35049862,2
-1741.12149178,3687.6715791,2
-1268.88255531,-6418.20716448,2
-6180.54226254,-6330.45973984,2
-1424.90079527,2900.7200253,2
-4664.8585425,-1022.98239433,2
-2651.58996571,-3663.62885779,2
-5437.00672027,-1298.87088278,2
-1391.75966609,-9236.74518916,2
1329.36225545,-4277.05103335,2
-4849.61051426,-2965.93561247,2
-1806.19930612,2625.44948188,2
-3545.61811517,-1417.18698818,2
-5204.73700777,-3900.35919222,2
-1243.08633863,1463.50262449,2
-3725.08241758,-5957.6036083,2
-3519.07194334,2948.01234162,2
2099.47880135,-3859.91882225,2
-3640.24454475,223.996809504,2
-3013.55254613,3270.6410045,2
-5829.80563785,-4657.39699404,2
-5165.61199585,-2575.32773118,2
-4065.56665753,-1012.90141704,2
-6473.02917216,-2511.34525952,2
-7337.96825767,-1685.2437513,2
-5579.64960469,5494.05284612,2
-5304.54202591,-3885.89557498,2
-5594.71136078,-1744.73849751,2
-2707.76586584,-7970.98730175,2
970.006028076,-5764.08455761,2
-3533.58547406,1886.45192294,2
-1.44924540302,-5328.33936608,2
-6140.75960008,-5369.42603431,2
-2373.79999042,3275.93767709,2
-2475.76860957,1796.18385616,2
-4135.94362693,1755.42275535,2
1362.47836115,-2659.4233985,2
-4075.8658624,3481.35039025,2
-5183.80194403,-3254.96006032,2
-3333.71612347,-5970.80181228,2
-6346.95092426,-675.536980556,2
473.025585806,-7092.72509061,2
824.315910605,-5939.13028258,2
-1849.04374113,-68.7851350541,2
-3350.45900479,-353.005764382,2
-3974.61983575,-716.523641148,2
-4895.23354117,606.381469357,2
-774.3927056,1885.11599243,2
-3919.59097176,-129.7435554,2
-5628.10032111,432.672746698,2
-1514.72827442,-7377.31759395,2
-4389.57344482,-2403.49692994,2
-5496.75450009,-3777.7693398,2
-5348.90408579,-8339.13951925,2
-5865.99036147,-2269.17645609,2
2414.94047953,287.360346484,2
-3428.0503369,3853.29223343,2
1765.61111072,-7537.67088941,2
-4838.30817143,-85.5467977753,2
-3345.77850108,836.373139256,2
1277.82960718,-668.161290042,2
-3905.63282901,-2219.0104817,2
-6466.97936708,-949.333867519,2
-3288.23774075,1178.74404587,2
835.448997608,4719.89978814,2
-5188.97771907,-5962.6464267,2
-6238.17039932,-1298.3707651,2
-4049.5361678,713.712985777,2
-1021.74023959,4529.41443747,2
-4493.14146721,-1493.61734497,2
3057.85345458,-5871.16811619,2
-3248.38629979,961.172185165,2
-2186.47311275,-5574.991155,2
-4467.82874718,-792.072036329,2
-5974.20855935,89.8683720529,2
-5334.32560624,-512.532468844,2
-6284.51941948,-5773.67701655,2
-5412.06860452,-2481.00918906,2
-1880.48808292,1087.68921491,2
-1633.62033176,-416.176801277,2
-4666.24720382,1442.35312382,2
2012.02462076,-962.771739579,2
1131.40470331,2393.87116604,2
-3426.08504014,-5225.64150158,2
-4108.85906388,-2715.15690044,2
-1039.8196881,891.768818869,2
526.732874993,2106.28696982,2
3460.92382233,2786.98766703,2
-3717.15215809,-3320.52359586,2
-2562.01795673,5987.55486519,2
-4814.51937227,-33.9727939162,2
-5542.79924259,-4246.6594897,2
-5022.28529615,-5513.80600423,2
-5551.57356542,-5215.11247967,2
-6477.15763443,2772.69438284,2
-3808.53812565,-344.163097829,2
-4672.09321894,-4282.8697401,2
370.429754378,-7886.92945812,2
-4154.2783296,-7228.1026056,2
-5394.90376923,-5344.70791591,2
-4203.99215487,2548.31951914,2
-199.994557826,2742.78294106,2
-4783.41767172,1186.15420406,2
-301.632971185,181.778034452,2
-3276.38221742,-5633.37589561,2
-3027.88042088,-4910.33883638,2
-4545.26270523,2274.72908758,2
-4053.19690969,-4339.45941159,2
-1494.35947998,2695.15403861,2
2703.56323089,-4834.50834117,2
-2904.61431379,3138.1329008,2
-5077.04781927,-35.1007456852,2
-3506.39803426,2378.07973732,2
-5171.98235892,-517.466558974,2
-6604.3205376,-5240.61926838,2
-532.34430836,2335.63317798,2
1230.79045033,3258.06645893,2
-775.504867266,-2404.68403396,2
-6194.79525245,-680.329315993,2
-1935.69525867,2997.46176209,2
-4313.64397967,-868.331980238,2
-6234.83638303,-890.313226331,2
-5403.34707891,1539.02409021,2
-3133.0444041,1263.77261927,2
-5437.72318135,-1102.09518853,2
3907.74666596,1873.91100905,2
-2787.64169903,-314.720676752,2
-4289.45132837,4498.14975422,2
-1039.41991299,-215.47425232,2
-1565.38826286,1759.02449663,2
-4962.41306439,1681.36227866,2
-5288.93141266,-1472.95228233,2
3657.61761629,-8042.35413051,2
2710.22490879,946.044879211,2
4341.01616326,-5295.23917393,2
-4884.4848337,-1227.55883398,2
-4878.49538983,-1973.94314567,2
-5526.84555279,-7522.23465624,2
-4432.8293027,-1605.23094511,2
-5435.95509046,-2722.26459274,2
-3212.29801313,3264.50944548,2
-4375.5983136,2435.4805982,2
-4544.17091146,616.331784474,2
-4871.16738995,-1133.57916426,2
-5481.79432733,-135.510230847,2
-1126.53142352,3671.82742623,2
-4742.64479276,-3391.01043679,2
-3042.62246046,1747.8013276,2
2023.82641142,-3979.88135651,2
1433.19764073,-5776.43000613,2
-3257.47852396,1785.21650315,2
4675.68630383,-1155.17400698,2
-5635.66111885,-4780.54260531,2
-4019.84465209,-5939.28789448,2
-6407.84911376,-3147.03497939,2
-4455.29406485,1061.34064978,2
-6707.53841092,1172.14148204,2
3051.00321261,-10040.5477345,2
-828.449772303,2011.63176498,2
-2195.61004879,2244.64880883,2
-3504.9233485,1500.36442207,2
984.64862213,-7623.87788585,2
-1367.71070108,3220.52584672,2
-975.945324474,-1548.28422203,2
-2888.96702123,2008.73842896,2
-805.457805634,-5588.87882212,2
-2764.86257971,4240.13351343,2
-3497.22824447,1677.08769,2
-1889.75717884,9613.96831097,2
2503.32159881,11899.6115692,2
3971.72990407,14031.9620753,2
255.938024648,5934.69534571,2
20132.2887239,31547.2564991,2
12129.2744261,19262.664992,2
10809.6777209,20361.1350576,2
5504.15895565,7756.90522834,2
-2620.61823574,7718.180295,2
2135.29924809,5198.88364274,2
8591.44929105,4874.56955342,2
16160.0917415,13017.3417553,2
729.442501255,7052.19179216,2
-2425.69613902,7116.43561804,2
126.623085208,4757.00777341,2
-563.220336118,9789.50145163,2
13062.8857504,11203.8985631,2
-684.836553047,6560.43063736,2
6867.41525008,7066.25058133,2
-1629.87607234,7307.31761387,2
15015.8871806,28816.312451,2
9389.87322423,32686.9905111,2
561.96807203,10019.4722647,2
-572.876085079,8064.02576265,2
-543.524089285,5744.8248973,2
702.044629084,7486.6749858,2
2961.29335355,7479.81770017,2
-261.520213972,12392.4044427,2
11027.8973871,13255.8200258,2
8447.45085824,9051.98718492,2
4108.33903654,14845.1480911,2
2398.14783987,12335.8923492,2
3628.48183521,14052.4407672,2
7822.2516366,2726.46945246,2
257.492554062,6954.25668417,2
8376.87118149,6383.72248992,2
742.544033451,11804.0817779,2
1474.33891772,9988.13995485,2
836.925397838,5588.25119916,2
-1202.18630498,11514.5082282,2
6788.47224686,11316.2360644,2
-883.616460121,9716.95628294,2
3469.10855371,2880.09214226,2
5374.96566446,8125.82024581,2
-1393.51519852,7496.87898972,2
13150.5477556,16615.8943638,2
3165.9149211,4090.78460212,2
-790.432034108,6420.36172225,2
-346.290011834,5328.89464134,2
-1709.67964814,9014.53637864,2
8594.34275668,3019.8542509,2
3061.13955894,-13136.50102,2
5983.0578572,-8306.28210486,2
7900.93399029,-8658.3331516,2
23162.2476647,-9062.08925468,2
10556.4821861,-7118.27627788,2
8367.55925129,-7984.27767161,2
10707.6946247,-8658.53011013,2
10794.6097251,-10024.6940929,2
17359.3869489,-5376.35878562,2
8260.88370837,-6488.66695762,2
13667.8765025,-9132.12888085,2
15629.2640626,-12178.5315996,2
11012.2907822,-5421.7172372,2
7197.87370851,-10273.9962097,2
7760.92880455,-2600.47839527,2
19104.5433168,-9905.42190096,2
12916.4455502,-1533.68035714,2
51156.820514,-19126.5128761,2
11555.2799452,-10993.3776125,2
21098.8923442,-4886.04552437,2
5725.36948581,-10035.6784327,2
13271.6173659,-9236.40550074,2
11897.398014,-2992.62109217,2
9811.01743465,-4790.68078907,2
25809.0492385,3586.97553823,2
19007.2318791,598.503107173,2
9257.45838055,-7001.17606268,2
26866.0294595,-4029.84288641,2
9107.78472179,-10416.4083051,2
24867.531013,-13116.6926868,2
11680.7157885,-6689.0614584,2
12681.5798295,-3930.58809834,2
13086.7251024,-2663.84971236,2
